eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
97.42,6.3,108.27,5.9,1372,8.10574e-05,0.0,1.3862051,6.0887378e-05,3.2008848,0.0019391179084777832,1,256,11.937393231000001,16384
109.44,6.2,99.64,6.7,1407,0.0003774465,0.0,1.3855433,-0.00035556508,2.2918336,0.0010409355163574219,2,512,23.574774674,32768
105.73,6.3,91.55,7.1,1405,0.0006424557,0.0,1.3823212,-0.000110915746,2.2212765,0.0005691647529602051,3,768,35.233202389999995,49152
103.99,6.6,102.88,6.3,1395,0.0015384807,0.0,1.3768468,-0.00035327394,2.0105574,0.0014849305152893066,4,1024,46.976008316999994,65536
87.89,7.5,106.72,6.1,1388,0.0021143118,0.0,1.3644129,-0.00044976058,2.39363,0.0045059919357299805,5,1280,58.77567117699999,81920
104.33,6.5,102.7,6.6,1301,0.00097010314,0.0,1.3494034,0.00024540193,2.0586355,0.004580795764923096,6,1536,71.360185458,98304
97.7,6.9,110.16,6.5,1347,0.00097428425,0.0,1.3616396,-4.1663083e-05,2.0350192,0.007670879364013672,7,1792,83.520349617,114688
89.24,7.2,112.98,6.4,1331,0.0021898618,0.0063680015,1.3791428,-0.000968993,2.2784922,0.010850131511688232,8,2048,95.829619041,131072
86.56,7.7,105.72,6.7,1317,0.00016020802,0.0,1.3840871,1.652659e-05,2.0135648,0.011026382446289062,9,2304,108.269982751,147456
80.34,7.4,94.9,7.3,1388,0.0028604707,0.00970459,1.3817664,-0.0013302751,1.767965,0.006629824638366699,10,2560,120.071142485,163840
97.14,6.9,93.25,7.1,1392,0.001029363,0.0,1.3771518,0.00014004832,1.9639474,0.022665739059448242,11,2816,131.841882602,180224
105.23,6.2,105.08,6.6,1394,0.0017077081,0.0,1.371365,2.4472034e-05,1.6406221,0.02184218168258667,12,3072,143.59028626600002,196608
93.51,6.9,82.25,7.9,1395,0.0027400516,0.0025227864,1.3781929,-0.00055958395,1.5973849,0.040959060192108154,13,3328,155.33030995000001,212992
89.85,6.9,95.47,6.8,1375,0.0013808146,0.0,1.3803908,-0.00026445522,1.5474232,0.041570961475372314,14,3584,167.239111791,229376
93.65,7.0,84.76,7.3,1308,0.0021961122,0.0028686523,1.3662695,-0.00031733586,1.4706182,0.050272583961486816,15,3840,179.765004737,245760
85.2,7.5,110.52,6.1,1379,0.004723384,0.009847005,1.366057,-0.00019412913,1.5758153,0.06548440456390381,16,4096,191.63838552500002,262144
86.1,7.5,103.83,6.2,1380,0.005526656,0.039449055,1.3774638,-0.001255597,1.4410065,0.06835281848907471,17,4352,203.506909365,278528
108.77,6.1,105.94,6.6,1374,0.0064101126,0.044453938,1.3795356,-0.0021094093,1.1067208,0.08435308933258057,18,4608,215.430420446,294912
91.98,7.5,99.95,7.0,1385,0.0018908248,0.0,1.3817626,-0.00028061125,1.4920284,0.11089271306991577,19,4864,227.255767705,311296
92.23,6.6,96.36,6.8,1370,0.0030976047,0.00018310547,1.3763415,-0.0006832222,1.252021,0.13641715049743652,20,5120,239.214125609,327680
104.23,6.7,99.61,6.7,1363,0.0010221135,0.0,1.3651286,-3.815621e-05,1.223692,0.18734079599380493,21,5376,251.23292630699999,344064
105.75,6.3,119.53,5.5,1333,0.0011930395,0.00036621094,1.3769808,-7.467604e-05,1.2151637,0.2178046703338623,22,5632,263.51608388299996,360448
117.3,5.1,108.24,6.2,1115,0.002913986,0.009094238,1.3787996,-0.0012924041,1.0846319,0.2627987265586853,23,5888,278.208586945,376832
97.94,6.9,111.8,6.0,1307,0.0029238584,0.008605957,1.3801125,-0.0012867553,1.2319778,0.33146393299102783,24,6144,290.741260946,393216
91.14,7.2,102.69,6.8,1342,0.0022365972,0.00950114,1.3811699,-0.00054976466,1.2821766,0.38997334241867065,25,6400,302.94683117299996,409600
91.18,7.1,106.29,6.1,1326,0.00093218655,0.00044759116,1.3815689,-0.00026063295,1.1811048,0.4231548309326172,26,6656,315.30365445399997,425984
107.72,6.6,91.06,7.0,1126,0.000607355,0.0,1.3831755,-7.3612864e-05,1.0453095,0.4736170172691345,27,6912,329.8482431,442368
93.0,7.0,100.63,6.5,1178,0.00060104387,0.0004272461,1.3838295,-0.0005316097,1.2282802,0.4747995138168335,28,7168,343.751544369,458752
104.71,6.4,92.91,6.9,1152,0.00086928933,0.0,1.3823684,-0.0003264265,1.1623619,0.5182944536209106,29,7424,357.965762783,475136
96.43,7.3,109.44,6.2,1031,0.00038231528,0.0,1.3815521,-0.00023677827,1.2179506,0.49326151609420776,30,7680,373.85787793099996,491520
86.85,7.2,97.69,6.7,1004,0.0021528353,0.011088054,1.3821846,-0.0011362957,1.1171463,0.5439397096633911,31,7936,390.17072039199996,507904
86.49,7.2,113.17,5.8,921,0.0020509015,0.0121866865,1.3821229,-0.0018681488,1.1919719,0.5903394222259521,32,8192,407.95796337999997,524288
98.16,6.7,84.57,7.3,963,0.0016785255,0.0052083335,1.380238,-0.00029173525,1.1782094,0.5969781279563904,33,8448,424.97028399799996,540672
106.72,6.6,103.77,6.7,976,0.00016655779,0.0,1.3819715,-0.00014056436,1.0451175,0.6111628413200378,34,8704,441.74843494699996,557056
92.24,7.1,99.2,6.3,1286,0.0026773587,0.013875325,1.3803992,-0.0013269453,1.0858585,0.6460352540016174,35,8960,454.482755027,573440
93.51,6.8,98.47,6.7,1304,0.0021613804,0.009216309,1.3803388,-0.0011898702,1.2298594,0.6529617607593536,36,9216,467.04027506399996,589824
82.28,7.4,97.6,7.1,1060,0.0008475194,0.0,1.3784304,-0.0004526335,1.2468097,0.6740290224552155,37,9472,482.495763,606208
91.9,6.9,104.32,6.2,996,0.00053962745,0.0,1.3785347,-0.00077551696,1.1373214,0.6695504188537598,38,9728,498.935124015,622592
84.42,7.4,100.77,6.7,1121,0.0029529997,0.024576822,1.3751312,-0.0019928108,1.2506801,0.6853337585926056,39,9984,513.546893284,638976
89.95,7.1,97.36,6.9,1109,0.0023764542,0.022440592,1.3746,-0.0016756525,1.0899843,0.7133943736553192,40,10240,528.3172713509999,655360
85.35,7.3,82.69,7.6,1044,0.0017864582,0.005472819,1.368268,-0.00071286334,1.1225907,0.7284607887268066,41,10496,544.011077804,671744
87.02,7.2,89.31,7.1,1228,0.0015798258,0.007283529,1.3713326,-0.0013205732,0.99282414,0.7535275965929031,42,10752,557.350732853,688128
92.93,7.4,89.9,7.2,1016,0.0024860853,0.022521973,1.3669491,-0.0014372509,1.2478117,0.7321234941482544,43,11008,573.477219029,704512
79.74,7.6,87.51,6.9,712,0.0011419101,0.003885905,1.3644835,-0.0006790802,1.2799056,0.7340850532054901,44,11264,596.486029274,720896
84.53,7.0,89.28,7.0,951,0.00075986213,0.0014648438,1.3691229,-0.00073029025,1.1923372,0.7300768494606018,45,11520,613.714900062,737280
76.64,7.5,111.14,6.0,992,0.0018638885,0.016255697,1.3632423,-0.0005382934,1.1426339,0.7479832768440247,46,11776,630.2187017589999,753664
82.89,7.4,108.38,5.9,1091,0.0024309072,0.0068766274,1.3617157,-0.00045433614,1.1516622,0.7572218775749207,47,12032,645.233456554,770048
73.26,7.7,93.88,6.7,1211,0.0024143748,0.01739502,1.3597955,-0.0015188189,0.96341467,0.8029027581214905,48,12288,658.758249857,786432
72.8,7.8,99.12,6.7,1140,0.001983809,0.012939453,1.351111,-0.0016345844,1.0973505,0.813738539814949,49,12544,673.127923651,802816
54.05,8.9,86.31,7.4,1078,0.001829706,0.0067342124,1.342373,-0.001039703,1.2251664,0.8055621236562729,50,12800,688.323735972,819200
66.5,7.7,100.12,6.4,1158,0.0025276465,0.022583008,1.3257594,-0.0009022481,0.89611477,0.8466671854257584,51,13056,702.469318843,835584
65.77,8.2,96.94,6.5,1240,0.0048214393,0.04429118,1.3175113,-0.0028195707,1.0176266,0.8581125438213348,52,13312,715.679786728,851968
67.98,7.9,89.18,6.7,1117,0.0025396557,0.024353027,1.3286558,-0.0009960657,0.87569714,0.852498471736908,53,13568,730.3382113179999,868352
59.44,8.4,98.11,6.4,1251,0.0028850148,0.024515787,1.3193223,-0.0020021664,0.70939875,0.8951017037034035,54,13824,743.435294301,884736
51.16,9.1,87.34,7.2,1223,0.0037211778,0.027933756,1.2941366,-0.0029193063,1.0800526,0.8483766615390778,55,14080,756.824673675,901120
49.32,8.8,104.33,6.0,1091,0.004296097,0.0499471,1.2961481,-0.0006668824,0.81426185,0.8905688524246216,56,14336,771.840601874,917504
61.77,8.5,74.29,7.9,1055,0.003458028,0.038045246,1.2812945,-0.0015180575,0.736262,0.9139491692185402,57,14592,787.369639214,933888
36.95,9.3,104.48,5.9,1263,0.0054020453,0.06565348,1.2633319,-0.0025747882,0.8537821,0.9025166258215904,58,14848,800.336989236,950272
40.65,9.0,81.92,7.4,1276,0.0044945716,0.048014324,1.2636058,-0.0015221586,0.7040891,0.9249204024672508,59,15104,813.177371117,966656
56.71,8.3,110.77,6.0,1284,0.007028494,0.092285156,1.2447939,-0.001172867,0.7829235,0.9093587920069695,60,15360,825.931163635,983040
51.39,8.6,115.85,5.0,1258,0.0078004133,0.091044106,1.2330316,-3.510214e-05,0.6745262,0.9257728159427643,61,15616,838.947341221,999424
47.43,8.6,82.71,7.3,1180,0.0074814404,0.0954183,1.2266345,0.0015688901,0.5312334,0.9418672025203705,62,15872,852.824609711,1015808
35.91,9.2,86.99,6.7,1174,0.011023342,0.14200847,1.2270967,0.001512961,0.56801707,0.9368777424097061,63,16128,866.771244812,1032192
35.52,9.2,88.86,6.4,1229,0.008210852,0.096700035,1.2032825,0.00028183238,0.5007131,0.9486489929258823,64,16384,880.100391136,1048576
31.46,9.3,94.04,6.4,1273,0.021377673,0.17563884,1.1769403,0.0068279984,0.38138974,0.9626165516674519,65,16640,892.970342009,1064960
54.17,8.6,109.41,5.5,1217,0.01078822,0.13903809,1.1325048,-0.0014082153,0.4744086,0.9458364807069302,66,16896,906.430237581,1081344
49.3,8.9,121.27,5.3,1155,0.013711385,0.16855876,1.1214325,-0.0021714058,0.530615,0.9294154644012451,67,17152,920.609869607,1097728
62.23,8.1,97.7,6.0,1204,0.014026365,0.16552734,1.0938753,0.0033489605,0.6783939,0.8888347670435905,68,17408,934.208684383,1114112
38.19,9.3,99.76,6.0,1272,0.021076627,0.25764975,1.1113333,0.005780294,0.44653878,0.9367206543684006,69,17664,947.089513142,1130496
42.27,9.2,111.05,5.7,1139,0.009561614,0.12402344,1.1127863,-0.003150125,0.43993816,0.9331988170742989,70,17920,961.465786846,1146880
35.22,9.5,93.55,6.4,1147,0.016130077,0.21620686,1.1053039,0.0046079955,0.39084852,0.9450635947287083,71,18176,975.741043057,1163264
28.65,9.6,103.76,5.8,1220,0.012109403,0.1551717,1.0954596,0.003446088,0.24425538,0.9727259278297424,72,18432,989.1609707179999,1179648
28.16,9.6,108.93,5.6,1176,0.02770249,0.24914551,1.0559194,0.008243217,0.40890977,0.9369500204920769,73,18688,1003.0890655759999,1196032
25.2,9.8,102.64,5.9,1066,0.018731086,0.20888264,1.0774242,0.00075019646,0.29055366,0.9483988992869854,74,18944,1018.450271985,1212416
35.76,9.3,102.9,5.8,1042,0.016269147,0.21720378,1.0681053,0.0003769713,0.26952007,0.9563538655638695,75,19200,1034.1710384149999,1228800
20.98,9.7,100.6,6.1,1040,0.011774608,0.1570638,1.0658394,-0.0008150024,0.1970736,0.9660873301327229,76,19456,1049.913386472,1245184
15.79,10.0,113.32,5.3,1064,0.019438362,0.23620605,1.0477741,0.0027695552,0.18032785,0.9710899516940117,77,19712,1065.311235793,1261568
15.93,10.0,111.17,5.7,1011,0.012561704,0.15458171,1.040944,-0.0008190097,0.1888268,0.9622872360050678,78,19968,1081.505730508,1277952
18.52,9.8,120.01,4.9,1025,0.011513993,0.14099121,1.01516,0.0014387384,0.1530642,0.9475325830280781,79,20224,1097.480851184,1294336
14.93,10.0,114.65,5.2,1133,0.019598586,0.23612468,1.0312599,0.001357935,0.073506415,0.9570574574172497,80,20480,1111.9327374719999,1310720
18.7,9.8,109.86,5.5,959,0.025916018,0.25750732,0.98808604,0.0062394864,0.13207623,0.9397500790655613,81,20736,1129.018453183,1327104
15.62,9.9,109.83,5.6,867,0.03211275,0.27988687,0.9863998,0.008397835,0.1193909,0.9666634015738964,82,20992,1147.901568167,1343488
13.33,10.0,96.68,6.1,1005,0.039291244,0.34222412,0.99749583,0.007281503,0.064937934,0.9719825778156519,83,21248,1164.2021198759999,1359872
14.21,10.0,125.43,4.6,1022,0.018786823,0.19773357,0.9752231,0.00013146894,0.14731584,0.9214956164360046,84,21504,1180.219892281,1376256
18.34,9.9,129.18,4.2,1046,0.027193809,0.28104654,0.9884774,0.0031781166,0.105302,0.9734990149736404,85,21760,1195.876780138,1392640
12.73,10.0,117.58,5.0,1051,0.01705352,0.19163005,0.9464044,-0.0012921917,0.04533529,0.9887518538162112,86,22016,1211.462778694,1409024
12.91,9.9,106.1,5.7,997,0.021957345,0.24682617,0.9185772,0.0053814617,0.037003927,0.9847992192953825,87,22272,1227.885261477,1425408
12.19,9.9,129.63,4.2,835,0.035430096,0.32407632,0.92228836,0.010151912,0.07214833,0.9821608290076256,88,22528,1247.499135108,1441792
9.86,10.0,117.8,4.9,986,0.035150755,0.3398641,0.9216461,0.013126392,0.044135988,0.9570190459489822,89,22784,1264.105543406,1458176
12.78,10.0,122.89,4.4,1151,0.046719175,0.33687338,0.9406124,0.01248373,0.028287113,0.9882826870307326,90,23040,1278.330305324,1474560
13.69,10.0,119.89,4.8,1241,0.04197076,0.36810303,0.9086004,0.009132999,0.07924526,0.8775270357728004,91,23296,1291.527812433,1490944
9.53,10.0,112.63,5.2,1235,0.014964466,0.16357422,0.848957,0.0026692739,0.02612208,0.9732572268694639,92,23552,1304.787754968,1507328
9.41,10.0,113.56,5.0,1115,0.018841676,0.20027669,0.8460358,0.0020507846,0.07195755,0.9453402422368526,93,23808,1319.471377258,1523712
10.42,10.0,118.25,5.4,1006,0.03277347,0.2786255,0.8433679,0.0014934038,0.03500931,0.9893958857282996,94,24064,1335.748559936,1540096
5.99,10.0,115.05,4.9,1032,0.032817006,0.2732544,0.7971893,0.0075567868,0.07732175,0.9552802368998528,95,24320,1351.621360155,1556480
7.93,10.0,122.28,4.6,914,0.031302683,0.27419028,0.7853299,0.00983006,0.021349588,0.9768109861761332,96,24576,1369.532279129,1572864
6.8,10.0,106.57,5.6,831,0.025537143,0.22149658,0.7681375,0.0049177017,0.04951338,0.9665233828127384,97,24832,1389.227100027,1589248
8.38,10.0,130.24,4.5,1095,0.023534589,0.23122151,0.75738674,0.00567055,0.09940713,0.9413048252463341,98,25088,1404.179672348,1605632
7.39,10.0,120.17,4.8,1168,0.021914536,0.23048909,0.7580325,0.0047617564,0.04837577,0.9403532482683659,99,25344,1418.202174016,1622016
6.89,10.0,111.83,5.1,1182,0.029079007,0.25958252,0.7322982,0.0054288846,0.09141343,0.9237931817770004,100,25600,1432.053625135,1638400
9.9,9.9,111.81,5.1,1116,0.034251146,0.27770996,0.7284581,0.010406281,0.06844001,0.9524131081998348,101,25856,1446.7304520129999,1654784
10.47,9.9,102.83,5.6,1094,0.03302798,0.25242105,0.72583485,0.0030591532,0.074646756,0.9680593311786652,102,26112,1461.696543307,1671168
14.99,9.9,118.54,5.0,1143,0.040720824,0.28295898,0.7676923,0.010302952,0.10993478,0.8354604542255402,103,26368,1476.024378283,1687552
17.13,9.9,126.64,4.2,1181,0.04785596,0.33131918,0.77464724,0.009980541,0.29883537,0.6169808804988861,104,26624,1489.891328409,1703936
18.99,9.6,111.11,5.1,1190,0.010977919,0.12424723,0.7167352,0.0029956412,0.82573295,0.42294472455978394,105,26880,1503.656309118,1720320
20.83,9.8,124.55,4.4,1228,0.025779307,0.19746907,0.6884809,0.0073985388,0.5928079,0.1989315152168274,106,27136,1516.990039709,1736704
16.19,10.0,127.46,4.0,1246,0.020946264,0.1731364,0.7381828,0.0018426735,0.32049432,0.6514994204044342,107,27392,1530.133262175,1753088
13.99,9.9,135.01,4.7,1180,0.054542173,0.33374023,0.7730804,0.014203963,0.1303202,0.7390084564685822,108,27648,1544.016146317,1769472
14.34,10.0,120.81,4.6,1116,0.01835115,0.18218994,0.7946276,0.0041649723,0.26284686,0.05994158983230591,109,27904,1558.685529101,1785856
22.58,9.4,116.96,5.2,1085,0.032969896,0.24302165,0.8082371,0.008112726,0.5944308,0.08700138330459595,110,28160,1573.775740548,1802240
13.53,9.9,103.29,5.7,964,0.02318758,0.22644043,0.8214877,0.006195286,0.31422713,0.19846111536026,111,28416,1590.75516655,1818624
24.01,9.6,121.84,4.6,1035,0.03480092,0.23531087,0.8216173,0.0095601035,0.41985813,0.5170345306396484,112,28672,1606.585105916,1835008
17.25,9.9,115.0,5.0,1107,0.028797813,0.24009196,0.79330206,-0.002386137,0.27055892,0.7707716226577759,113,28928,1621.386085088,1851392
10.73,10.0,121.3,4.6,1115,0.029320568,0.26161703,0.8189993,0.0046154843,0.09335259,0.9196840673685074,114,29184,1636.074325647,1867776
11.38,10.0,94.11,6.2,794,0.015138504,0.17303467,0.7922673,-0.0014616209,0.09913352,0.8397967517375946,115,29440,1656.698481441,1884160
11.7,9.9,123.57,4.9,1022,0.0143699795,0.17624919,0.7966816,0.0009296125,0.092005014,0.894867867231369,116,29696,1672.725196446,1900544
8.57,10.0,103.43,5.8,1211,0.026685743,0.26159668,0.7935503,0.00014320842,0.07728342,0.8166379034519196,117,29952,1686.248198716,1916928
10.36,9.9,103.97,5.6,1235,0.018932594,0.1977539,0.821454,0.003980213,0.16477267,0.7847196608781815,118,30208,1699.51033694,1933312
8.91,10.0,114.23,5.0,1244,0.028884804,0.24940999,0.8157417,0.0026275737,0.056570653,0.9544673636555672,119,30464,1712.674381561,1949696
10.48,10.0,120.9,4.4,1231,0.03593195,0.29947916,0.8227628,0.004069108,0.04203759,0.9264415949583054,120,30720,1725.979171616,1966080
20.5,9.9,130.37,3.9,1271,0.033306666,0.2529297,0.91471213,0.00022661437,0.18511318,0.746238112449646,121,30976,1738.868578665,1982464
15.86,10.0,111.13,5.4,1266,0.020233547,0.19165039,0.85229635,0.0012625363,0.21079071,0.718095988035202,122,31232,1751.802442008,1998848
